key,transcript,prediction
0,"Turret, prepare to deploy electromagnetic pulse. Heading zero six five, target is grey and white fighter jet. Engage when ready."," To get started, prepare to deploy electromagnetic files. Heading 065, target is 3 and white fighter jets. Engage when ready."
1,"Engage yellow drone with surface-to-air missiles, heading two three five.", Engage the yellow-drone with surface to air missiles heading to 35.
2,"Control to turrets, deploy electromagnetic pulse, heading one one zero. Engage blue and red fighter plane. Repeat, deploy EMP, heading one one zero, engage blue and red fighter aircraft. Over."," Control to turret, deploy, electromagnetic bolt, any 1.1.0, engage glue and red fighter point, repeat, deploy EMC, any 1.0, engage glue and red fighter aircraft over."
3,"Alfa, Echo, Mike Papa, deploy EMP tool heading zero eight five, engage purple, red, and silver fighter jet.", Alpha Echo Mic Papa Deploy EMP Dual Heading 08 size Engage Purple Z Enceleva Fighter Jet
4,"Engage the grey, black, and green fighter plane with the machine gun, heading zero niner five.", and keep the free black and green fighter clean with the machine gun heading 0.9.5
5,"Air defense turret, lock onto target black and yellow missile at heading zero one five. Deploy EMP."," Air Defense started, lock on the target, black and yellow missile at heading 015. Deploy the MP."
6,"Control, heading zero eight five, deploy electromagnetic pulse on the green, grey, and brown cargo aircraft target. Over."," Control. Heading 085, the pure electromagnet pulse on the green, green and brown cargo aircraft target. Over."
7,"Control to air defense turrets, prepare to engage target at heading zero four five. Deploy anti-air artillery against white light aircraft. Execute with extreme precision and caution.", Control to air defense target. Prepare to engage target at heading 045. Deploy anti air artillery against white light aircraft. Execute with extreme precision and caution.
8,"Control here, this is a priority alert. Deploy anti-air artillery to intercept the orange and blue light aircraft heading two one five. Execute immediately. Over.", Control here. This is a priority alert. Deploy anti-air artillery to intercept the orange and blue light aircraft heading 215. Execute immediately over.
9,"Control tower to air defense turrets, deploy anti-air artillery, heading three zero five, target black and white light aircraft."," Control tower to air defense turrets, deploy, and air artillery. Heading 305, target black and white light aircraft."
10,"Turret Bravo, engage the target, white, green, and silver cargo aircraft, heading zero five five with surface-to-air missiles. Prepare for launch."," Target Bravo engaged the target, white screen and silver cargo aircraft, heading 055 with surface to air missiles, prepare for launch."
11,"Control tower to air defense turrets, deploy surface-to-air missiles, heading three zero five, target yellow drone.", Control tower to air defense turrets deploy surface to air missiles heading 305 target yellow drone
12,"Rotate to heading two eight five, deploy machine gun, target the red and silver missile. Ready to engage."," Rotate to heading to 8.5 deploy machine gun, target the red and silver missile. Ready to end case."
13,"Turret Delta, engage the white, silver, and red cargo aircraft with interceptor jets on heading one niner five."," Turin Delta, engaged white male and red cargo aircraft with an empty jet, one heading one nine of five."
14,"Tango, this is Tower. Engage black drone at heading two seven five with machine gun. Repeat, engage black drone at heading two seven five with machine gun. Over."," Kango, this is power. Engage Black drone at heading 275 with machine gun repeat. Engage Black drone at heading 275 with machine gun. Over."
15,Engage hostile silver and black fighter jet at heading two zero five. Deploy EMP immediately., Engage hostel silver and black fighter jet at heading 205. Deploy ENB immediately.
16,"Control tower to air defense turrets, deploy electromagnetic pulse on purple, orange, and red helicopter at heading two zero five."," 1.2 hour 2, 8 depends on its electric magnetic pulse, 1.4 hour and 8 helicopter at heading 205."
