key,truth,prediction
0,"{'heading': '065', 'target': 'grey and white fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '065', 'tool': 'electromagnetic pulse', 'target': 'grey and white fighter jet'}"
1,"{'heading': '235', 'target': 'yellow drone', 'tool': 'surface-to-air missiles'}","{'heading': '235', 'tool': 'surface - to - air missiles', 'target': 'yellow drone'}"
2,"{'heading': '110', 'target': 'blue and red fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '110', 'tool': 'electromagnetic pulse', 'target': 'blue and red fighter plane'}"
3,"{'heading': '085', 'target': 'purple, red, and silver fighter jet', 'tool': 'EMP'}","{'heading': '085', 'tool': 'emp', 'target': 'purple, red, and silver fighter jet'}"
4,"{'heading': '095', 'target': 'grey, black, and green fighter plane', 'tool': 'machine gun'}","{'heading': '095', 'tool': 'machine gun', 'target': 'grey, black, and green fighter plane'}"
5,"{'heading': '015', 'target': 'black and yellow missile', 'tool': 'EMP'}","{'heading': '015', 'tool': 'emp', 'target': 'black and yellow missile'}"
6,"{'heading': '085', 'target': 'green, grey, and brown cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '085', 'tool': 'electromagnetic pulse', 'target': 'green, grey, and brown cargo aircraft'}"
7,"{'heading': '045', 'target': 'white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '045', 'tool': 'anti - air artillery', 'target': 'white light aircraft'}"
8,"{'heading': '215', 'target': 'orange and blue light aircraft', 'tool': 'anti-air artillery'}","{'heading': '215', 'tool': 'anti - air artillery', 'target': 'orange and blue light aircraft'}"
9,"{'heading': '305', 'target': 'black and white light aircraft', 'tool': 'anti-air artillery'}","{'heading': '305', 'tool': 'anti - air artillery', 'target': 'black and white light aircraft'}"
10,"{'heading': '055', 'target': 'white, green, and silver cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '055', 'tool': 'surface - to - air missiles', 'target': 'white, green, and silver cargo aircraft'}"
11,"{'heading': '305', 'target': 'yellow drone', 'tool': 'surface-to-air missiles'}","{'heading': '305', 'tool': 'surface - to - air missiles', 'target': 'yellow drone'}"
12,"{'heading': '285', 'target': 'red and silver missile', 'tool': 'machine gun'}","{'heading': '285', 'tool': 'machine gun', 'target': 'red and silver missile'}"
13,"{'heading': '195', 'target': 'white, silver, and red cargo aircraft', 'tool': 'interceptor jets'}","{'heading': '195', 'tool': 'interceptor jets', 'target': 'white, silver, and red cargo aircraft'}"
14,"{'heading': '275', 'target': 'black drone', 'tool': 'machine gun'}","{'heading': '275', 'tool': 'machine gun', 'target': 'black drone'}"
